default;LivingStatus;EmploymentStatus;MonthlyIncome;external_score_1;external_score_2;time_to_first_trx;time_to_activation;opening_balance;closing_balance;amount_transaction_type1;amount_transaction_type2;amount_transaction_type3;amount_transaction_type4;amount_transaction_type5;amount_transaction_type6;amount_transaction_type7;amount_transaction_type8;amount_transaction_type9;amount_transaction_type10;amount_transaction_type11;amount_transaction_type12;amount_transaction_type13;amount_transaction_type14;amount_transaction_type15;amount_transaction_type16;amount_turnover_purchase;amount_turnover_betting;amount_turnover_cash;amount_turnover_money_transfer;repayment_amount
1;Unknown;Unknown;-1;537;485;72;73;-4027,16;-4068,05;-39,76;0;0;0;0;0;0;-16,39;0;0;-100;0;0;0;0;0;-24,8;0;-100;0;150
1;Owner;Self-employed/freelancer;3000;583;485;23;7;-2596,91;-4068,05;-65,38;0;0;0;0;-18,9;-137,39;0;0;-19,08;-500;-0,99;0;0;-1618,94;0;-1319,96;0;-500;-50;150
1;At Parents;Executive employee;1500;534;628;15;9;-1660,46;-3995,8;-70,89;0;0;0;0;-18,9;0;0;0;0;-100;0;0;0;0;0;0;0;-100;0;0
1;At Parents;Self-employed/freelancer;1500;523;485;26;21;-2504,25;-2516,71;-70,89;0;0;0;0;0;0;0;0;0;-100;0;0;0;0;0;0;0;0;-50;0
1;At Parents;Self-employed/freelancer;2500;523;242;14;12;-2532,68;-2516,71;-39,43;0;0;0;0;0;0;0;0;-30,78;0;-1,9;0;0;0;0;-26,84;0;0;0;36,9
1;Unknown;Unknown;-1;532;242;72;36;-2532,68;-2516,71;-65,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150
1;Other;Other;2000;527;-1;35;15;-1660,46;-1973,49;-30,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,14
1;Renter;Retiree/pensioner;1000;351;423;26;2;-324,87;-1774,16;-29,27;0;0;0;0;0;0;0;0;0;-1220;0;0;0;0;0;0;0;-1498,65;0;0
1;Other;Employee;2000;425;218;14;11;-326,51;-1774,16;-30,42;0;0;0;0;0;0;-10,18;0;0;-1220;0;0;-25;0;0;0;-15;-1060;0;200
1;Renter;Executive employee;2000;385;583;71;69;-1394,03;-1745,86;-12,81;0;0;0;0;0;0;-482,43;0;-29,28;0;0;0;0;0;0;-1263,06;0;0;0;200
1;Renter;Unemployed;1500;450;947;37;26;-1954,25;-1520,89;-13,56;0;0;0;0;0;0;0;0;-125,72;-30;0;0;0;0;0;-99,78;0;-30;0;-999
1;Other;Other;1000;322;144;33;17;-1454,24;-1512,89;-2018,24;0;0;0;0;0;-500;0;0;0;0;-59,94;0;0;0;0;-26,89;0;0;-120;-999
1;At Parents;Employee;2000;511;906;52;41;12,76;-1511,98;-24,44;0;0;0;0;0;0;-120,87;0;-178,41;-1050;0;0;0;0;0;-330,97;0;-1050;0;-999
1;Owner;Self-employed/freelancer;2500;383;-1;21;16;-91,16;-1511,32;-29,27;0;0;0;0;0;0;0;0;0;-30;0;0;0;0;0;0;0;-30;0;-999
1;At Parents;Self-employed/freelancer;-1;406;545;33;6;-12,23;-1511,32;-1496,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2000;20
1;Renter;Civil servants/governmental;2000;565;549;608;435;-1401,88;-1510,69;-13,33;0;0;0;0;0;0;-474,84;0;-401,55;-450;0;0;0;0;0;-1263,06;0;-345;0;30
1;Renter;Employee;2500;-1;429;22;7;-573,89;-1489;0;0;0;0;0;0;0;-707,11;-139,9;-539,96;-450;0;0;-368;0;0;-1263,06;-535;-450;0;120
1;Renter;Retiree/pensioner;2500;463;-1;32;9;-1954,25;-1455,84;-24,86;0;0;0;-1429,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
1;Unknown;Unknown;-1;425;688;29;24;-1760,71;-1363,94;-22,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
1;Unknown;Unknown;-1;434;883;206;175;-997,21;-1263,06;-18,33;0;0;0;0;0;0;-120,87;-135,81;-40,3;-13,71;0;0;0;0;0;-107,1;0;-20;0;-999
1;Unknown;Unknown;-1;390;375;29;5;-1027,05;-1057,04;-16,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;At Parents;Employee;1000;344;652;16;9;-1044,47;-1014,09;-0,2;0;0;0;0;0;0;-66,9;0;0;0;0;0;-42;0;0;0;-25;0;0;0
1;Renter;Employee;2000;-1;375;93;40;-1040,26;-1011,16;-14,08;0;0;0;0;0;0;0;-66,94;0;0;0;0;0;0;0;-66,94;0;0;0;80
1;Renter;Executive civil servant;3000;493;380;93;21;-1001,39;-1011,16;-12,83;0;0;0;0;0;0;0;-150;0;0;0;0;0;0;0;-150;0;0;0;0
1;Renter;Executive employee;2000;512;1150;14;4;-1043,16;-1008,26;-7,72;0;0;0;0;0;0;0;0;0;-40;0;0;0;0;0;0;0;-40;0;975
1;Unknown;Unknown;-1;-1;252;76;47;-1055,5;-1005,75;-15,69;0;0;0;0;0;0;-6,89;0;0;0;0;0;0;0;0;-6,89;0;0;0;-999
1;Unknown;Other;3000;314;-1;85;62;-800,87;-1005,75;-14,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Retiree/pensioner;-1;527;1150;22;15;-1045,95;-1004,74;-14,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Unknown;Unknown;-1;499;488;60;41;-1090,41;-1003,32;-17,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;At Parents;Employee;2000;511;816;34;18;-1090,41;-1003,32;-18,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Executive employee;2000;441;690;19;13;-778,15;-996,26;-9,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Executive employee;2000;488;821;50;34;-1000,88;-996,26;-27,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;At Parents;Executive employee;1500;534;338;39;13;-926,51;-996,26;-16,4;0;0;0;0;0;0;0;0;0;-80;0;0;0;0;0;0;0;-70;0;30
1;Renter;Retiree/pensioner;2500;493;9999;936;601;-1014,26;-994,69;-17,78;0;0;0;0;0;0;0;0;-76,2;0;0;0;0;0;0;-93,9;0;0;0;25,41
1;Renter;Retiree/pensioner;1500;609;1150;38;24;-1045,95;-992,21;-13,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Executive employee;2000;285;738;17;4;-1002,79;-990,99;-18,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,07;0;0;0;30
1;Renter;Executive employee;2500;500;473;13;2;-947,43;-990,99;-7,72;0;0;0;0;0;0;0;0;0;-700;0;0;0;0;0;0;0;-700;0;1010
1;Renter;Employee;2000;282;375;33;13;-339,58;-979,81;-14,28;0;0;0;0;0;-15,99;0;0;0;-400;0;0;0;0;0;-26,89;0;-400;0;0
1;Other;Executive civil servant;2000;-1;608;22;2;-969,7;-976,65;-13,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
1;Unknown;Unknown;-1;489;602;25;13;-832,82;-976,65;-14,26;0;0;0;0;0;0;0;0;0;-20;0;0;-11;0;0;0;-40;-20;0;60
1;Unknown;Unknown;-1;434;602;10;3;-972,66;-970,63;-0,2;0;0;0;0;0;0;-86,02;0;0;-700;0;0;-500;0;0;-945,99;-447;-500;0;975
1;Renter;Employee;1500;486;913;32;19;-1004,12;-970,63;-14,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Executive employee;2000;434;1150;24;15;-997,21;-960,26;-14,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
1;Owner;Employee;2000;525;566;60;56;-1078,42;-957,17;-15,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
1;Unknown;Unknown;-1;474;545;28;14;-832,82;-945,99;0;0;0;0;0;0;-15,99;-86,02;0;-443,83;-29,97;0;0;-535;0;0;-307,23;0;-20;0;500
